Label,Name,R,G,B
626,Cbm_Left_X,255,165,0
627,Cbm_Vermis_X,0,255,127
628,Cbm_Right_X,165,42,42
640,Cbm_Right_I_V_med,204,0,0
641,Cbm_Right_I_V_mid,255,0,0
642,Cbm_Right_VI_med,0,0,255
643,Cbm_Right_VI_mid,30,144,255
644,Cbm_Right_VI_lat,100,212,237
645,Cbm_Right_CrusI_med,218,165,32
646,Cbm_Right_CrusI_mid,255,215,0
647,Cbm_Right_CrusI_lat,255,255,166
648,Cbm_Right_CrusII_med,153,0,204
649,Cbm_Right_CrusII_mid,153,141,209
650,Cbm_Right_CrusII_lat,204,204,255
651,Cbm_Right_7med,31,212,194
652,Cbm_Right_7mid,3,255,237
653,Cbm_Right_7lat,204,255,255
654,Cbm_Right_8med,86,74,147
655,Cbm_Right_8mid,114,114,190
656,Cbm_Right_8lat,184,178,255
657,Cbm_Right_PUNs,126,138,37
658,Cbm_Right_TONs,189,197,117
659,Cbm_Right_FLOs,240,230,140
660,Cbm_Left_I_V_med,204,0,0
661,Cbm_Left_I_V_mid,255,0,0
662,Cbm_Left_VI_med,0,0,255
663,Cbm_Left_VI_mid,30,144,255
664,Cbm_Left_VI_lat,100,212,237
665,Cbm_Left_CrusI_med,218,165,32
666,Cbm_Left_CrusI_mid,255,215,0
667,Cbm_Left_CrusI_lat,255,255,166
668,Cbm_Left_CrusII_med,153,0,204
669,Cbm_Left_CrusII_mid,153,141,209
670,Cbm_Left_CrusII_lat,204,204,255
671,Cbm_Left_7med,31,212,194
672,Cbm_Left_7mid,3,255,237
673,Cbm_Left_7lat,204,255,255
674,Cbm_Left_8med,86,74,147
675,Cbm_Left_8mid,114,114,190
676,Cbm_Left_8lat,184,178,255
677,Cbm_Left_PUNs,126,138,37
678,Cbm_Left_TONs,189,197,117
679,Cbm_Left_FLOs,240,230,140
690,CbmWM_Gyri_Left,122,135,50
691,CbmWM_Gyri_Right,122,135,50
701,CSF-FSL-FAST,120,18,134
702,GrayMatter-FSL-FAST,205,62,78
703,WhiteMatter-FSL-FAST,0,225,0
999,SUSPICIOUS,255,100,100
1000,ctx-lh-unknown,25,5,25
1001,ctx-lh-bankssts,25,100,40
1002,ctx-lh-caudalanteriorcingulate,125,100,160
1003,ctx-lh-caudalmiddlefrontal,100,25,0
1004,ctx-lh-corpuscallosum,120,70,50
1005,ctx-lh-cuneus,220,20,100
1006,ctx-lh-entorhinal,220,20,10
1007,ctx-lh-fusiform,180,220,140
1008,ctx-lh-inferiorparietal,220,60,220
1009,ctx-lh-inferiortemporal,180,40,120
1010,ctx-lh-isthmuscingulate,140,20,140
1011,ctx-lh-lateraloccipital,20,30,140
1012,ctx-lh-lateralorbitofrontal,35,75,50
1013,ctx-lh-lingual,225,140,140
1014,ctx-lh-medialorbitofrontal,200,35,75
1015,ctx-lh-middletemporal,160,100,50
1016,ctx-lh-parahippocampal,20,220,60
1017,ctx-lh-paracentral,60,220,60
1018,ctx-lh-parsopercularis,220,180,140
1019,ctx-lh-parsorbitalis,20,100,50
1020,ctx-lh-parstriangularis,220,60,20
1021,ctx-lh-pericalcarine,120,100,60
1022,ctx-lh-postcentral,220,20,20
1023,ctx-lh-posteriorcingulate,220,180,220
1024,ctx-lh-precentral,60,20,220
1025,ctx-lh-precuneus,160,140,180
1026,ctx-lh-rostralanteriorcingulate,80,20,140
1027,ctx-lh-rostralmiddlefrontal,75,50,125
1028,ctx-lh-superiorfrontal,20,220,160
1029,ctx-lh-superiorparietal,20,180,140
1030,ctx-lh-superiortemporal,140,220,220
1031,ctx-lh-supramarginal,80,160,20
1032,ctx-lh-frontalpole,100,0,100
1033,ctx-lh-temporalpole,70,70,70
1034,ctx-lh-transversetemporal,150,150,200
1035,ctx-lh-insula,255,192,32
2000,ctx-rh-unknown,25,5,25
2001,ctx-rh-bankssts,25,100,40
2002,ctx-rh-caudalanteriorcingulate,125,100,160
2003,ctx-rh-caudalmiddlefrontal,100,25,0
2004,ctx-rh-corpuscallosum,120,70,50
2005,ctx-rh-cuneus,220,20,100
2006,ctx-rh-entorhinal,220,20,10
2007,ctx-rh-fusiform,180,220,140
2008,ctx-rh-inferiorparietal,220,60,220
2009,ctx-rh-inferiortemporal,180,40,120
2010,ctx-rh-isthmuscingulate,140,20,140
2011,ctx-rh-lateraloccipital,20,30,140
2012,ctx-rh-lateralorbitofrontal,35,75,50
2013,ctx-rh-lingual,225,140,140
2014,ctx-rh-medialorbitofrontal,200,35,75
2015,ctx-rh-middletemporal,160,100,50
2016,ctx-rh-parahippocampal,20,220,60
2017,ctx-rh-paracentral,60,220,60
2018,ctx-rh-parsopercularis,220,180,140
2019,ctx-rh-parsorbitalis,20,100,50
2020,ctx-rh-parstriangularis,220,60,20
2021,ctx-rh-pericalcarine,120,100,60
2022,ctx-rh-postcentral,220,20,20
2023,ctx-rh-posteriorcingulate,220,180,220
2024,ctx-rh-precentral,60,20,220
2025,ctx-rh-precuneus,160,140,180
2026,ctx-rh-rostralanteriorcingulate,80,20,140
2027,ctx-rh-rostralmiddlefrontal,75,50,125
2028,ctx-rh-superiorfrontal,20,220,160
2029,ctx-rh-superiorparietal,20,180,140
2030,ctx-rh-superiortemporal,140,220,220
2031,ctx-rh-supramarginal,80,160,20
2032,ctx-rh-frontalpole,100,0,100
2033,ctx-rh-temporalpole,70,70,70
2034,ctx-rh-transversetemporal,150,150,200
2035,ctx-rh-insula,255,192,32
3000,wm-lh-unknown,230,250,230
3001,wm-lh-bankssts,230,155,215
3002,wm-lh-caudalanteriorcingulate,130,155,95
3003,wm-lh-caudalmiddlefrontal,155,230,255
3004,wm-lh-corpuscallosum,135,185,205
3005,wm-lh-cuneus,35,235,155
3006,wm-lh-entorhinal,35,235,245
3007,wm-lh-fusiform,75,35,115
3008,wm-lh-inferiorparietal,35,195,35
3009,wm-lh-inferiortemporal,75,215,135
3010,wm-lh-isthmuscingulate,115,235,115
3011,wm-lh-lateraloccipital,235,225,115
3012,wm-lh-lateralorbitofrontal,220,180,205
3013,wm-lh-lingual,30,115,115
3014,wm-lh-medialorbitofrontal,55,220,180
3015,wm-lh-middletemporal,95,155,205
3016,wm-lh-parahippocampal,235,35,195
3017,wm-lh-paracentral,195,35,195
3018,wm-lh-parsopercularis,35,75,115
3019,wm-lh-parsorbitalis,235,155,205
3020,wm-lh-parstriangularis,35,195,235
3021,wm-lh-pericalcarine,135,155,195
3022,wm-lh-postcentral,35,235,235
3023,wm-lh-posteriorcingulate,35,75,35
3024,wm-lh-precentral,195,235,35
3025,wm-lh-precuneus,95,115,75
3026,wm-lh-rostralanteriorcingulate,175,235,115
3027,wm-lh-rostralmiddlefrontal,180,205,130
3028,wm-lh-superiorfrontal,235,35,95
3029,wm-lh-superiorparietal,235,75,115
3030,wm-lh-superiortemporal,115,35,35
3031,wm-lh-supramarginal,175,95,235
3032,wm-lh-frontalpole,155,255,155
3033,wm-lh-temporalpole,185,185,185
3034,wm-lh-transversetemporal,105,105,55
3035,wm-lh-insula,20,220,160
4000,wm-rh-unknown,230,250,230
4001,wm-rh-bankssts,230,155,215
4002,wm-rh-caudalanteriorcingulate,130,155,95
4003,wm-rh-caudalmiddlefrontal,155,230,255
4004,wm-rh-corpuscallosum,135,185,205
4005,wm-rh-cuneus,35,235,155
4006,wm-rh-entorhinal,35,235,245
4007,wm-rh-fusiform,75,35,115
4008,wm-rh-inferiorparietal,35,195,35
4009,wm-rh-inferiortemporal,75,215,135
4010,wm-rh-isthmuscingulate,115,235,115
4011,wm-rh-lateraloccipital,235,225,115
4012,wm-rh-lateralorbitofrontal,220,180,205
4013,wm-rh-lingual,30,115,115
4014,wm-rh-medialorbitofrontal,55,220,180
4015,wm-rh-middletemporal,95,155,205
4016,wm-rh-parahippocampal,235,35,195
4017,wm-rh-paracentral,195,35,195
4018,wm-rh-parsopercularis,35,75,115
4019,wm-rh-parsorbitalis,235,155,205
4020,wm-rh-parstriangularis,35,195,235
4021,wm-rh-pericalcarine,135,155,195
4022,wm-rh-postcentral,35,235,235
4023,wm-rh-posteriorcingulate,35,75,35
4024,wm-rh-precentral,195,235,35
4025,wm-rh-precuneus,95,115,75
4026,wm-rh-rostralanteriorcingulate,175,235,115
4027,wm-rh-rostralmiddlefrontal,180,205,130
4028,wm-rh-superiorfrontal,235,35,95
4029,wm-rh-superiorparietal,235,75,115
4030,wm-rh-superiortemporal,115,35,35
4031,wm-rh-supramarginal,175,95,235
4032,wm-rh-frontalpole,155,255,155
4033,wm-rh-temporalpole,185,185,185
4034,wm-rh-transversetemporal,105,105,55
4035,wm-rh-insula,20,220,160
1301,ctx-lh-frontal-lobe,25,100,40
1303,ctx-lh-cingulate-lobe,100,25,0
1304,ctx-lh-occiptal-lobe,120,70,50
1305,ctx-lh-temporal-lobe,220,20,100
1306,ctx-lh-parietal-lobe,220,20,10
1307,ctx-lh-insula-lobe,255,192,32
2301,ctx-rh-frontal-lobe,25,100,40
2303,ctx-rh-cingulate-lobe,100,25,0
2304,ctx-rh-occiptal-lobe,120,70,50
2305,ctx-rh-temporal-lobe,220,20,100
2306,ctx-rh-parietal-lobe,220,20,10
2307,ctx-rh-insula-lobe,255,192,32
3201,wm-lh-frontal-lobe,235,35,95
3203,wm-lh-cingulate-lobe,35,75,35
3204,wm-lh-occiptal-lobe,135,155,195
3205,wm-lh-temporal-lobe,115,35,35
3206,wm-lh-parietal-lobe,35,195,35
3207,wm-lh-insula-lobe,20,220,160
4201,wm-rh-frontal-lobe,235,35,95
4203,wm-rh-cingulate-lobe,35,75,35
4204,wm-rh-occiptal-lobe,135,155,195
4205,wm-rh-temporal-lobe,115,35,35
4206,wm-rh-parietal-lobe,35,195,35
4207,wm-rh-insula-lobe,20,220,160
1100,ctx-lh-Unknown,0,0,0
1101,ctx-lh-Corpus_callosum,50,50,50
1102,ctx-lh-G_and_S_Insula_ONLY_AVERAGE,180,20,30
1103,ctx-lh-G_cingulate-Isthmus,60,25,25
1104,ctx-lh-G_cingulate-Main_part,25,60,60
1200,ctx-lh-G_cingulate-caudal_ACC,25,60,61
1201,ctx-lh-G_cingulate-rostral_ACC,25,90,60
1202,ctx-lh-G_cingulate-posterior,25,120,60
1205,ctx-lh-S_cingulate-caudal_ACC,25,150,60
1206,ctx-lh-S_cingulate-rostral_ACC,25,180,60
1207,ctx-lh-S_cingulate-posterior,25,210,60
1210,ctx-lh-S_pericallosal-caudal,25,150,90
1211,ctx-lh-S_pericallosal-rostral,25,180,90
1212,ctx-lh-S_pericallosal-posterior,25,210,90
1105,ctx-lh-G_cuneus,180,20,20
1106,ctx-lh-G_frontal_inf-Opercular_part,220,20,100
1107,ctx-lh-G_frontal_inf-Orbital_part,140,60,60
1108,ctx-lh-G_frontal_inf-Triangular_part,180,220,140
1109,ctx-lh-G_frontal_middle,140,100,180
1110,ctx-lh-G_frontal_superior,180,20,140
1111,ctx-lh-G_frontomarginal,140,20,140
1112,ctx-lh-G_insular_long,21,10,10
1113,ctx-lh-G_insular_short,225,140,140
1114,ctx-lh-G_and_S_occipital_inferior,23,60,180
1115,ctx-lh-G_occipital_middle,180,60,180
1116,ctx-lh-G_occipital_superior,20,220,60
1117,ctx-lh-G_occipit-temp_lat-Or_fusiform,60,20,140
1118,ctx-lh-G_occipit-temp_med-Lingual_part,220,180,140
1119,ctx-lh-G_occipit-temp_med-Parahippocampal_part,65,100,20
1120,ctx-lh-G_orbital,220,60,20
1121,ctx-lh-G_paracentral,60,100,60
1122,ctx-lh-G_parietal_inferior-Angular_part,20,60,220
1123,ctx-lh-G_parietal_inferior-Supramarginal_part,100,100,60
1124,ctx-lh-G_parietal_superior,220,180,220
1125,ctx-lh-G_postcentral,20,180,140
1126,ctx-lh-G_precentral,60,140,180
1127,ctx-lh-G_precuneus,25,20,140
1128,ctx-lh-G_rectus,20,60,100
1129,ctx-lh-G_subcallosal,60,220,20
1130,ctx-lh-G_subcentral,60,20,220
1131,ctx-lh-G_temporal_inferior,220,220,100
1132,ctx-lh-G_temporal_middle,180,60,60
1133,ctx-lh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220
1134,ctx-lh-G_temp_sup-Lateral_aspect,220,60,220
1135,ctx-lh-G_temp_sup-Planum_polare,65,220,60
1136,ctx-lh-G_temp_sup-Planum_tempolare,25,140,20
1137,ctx-lh-G_and_S_transverse_frontopolar,13,0,250
1138,ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220
1139,ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60
1140,ctx-lh-Lat_Fissure-post_sgt,61,60,100
1141,ctx-lh-Medial_wall,25,25,25
1142,ctx-lh-Pole_occipital,140,20,60
1143,ctx-lh-Pole_temporal,220,180,20
1144,ctx-lh-S_calcarine,63,180,180
1145,ctx-lh-S_central,221,20,10
1146,ctx-lh-S_central_insula,21,220,20
1147,ctx-lh-S_cingulate-Main_part_and_Intracingulate,183,100,20
1148,ctx-lh-S_cingulate-Marginalis_part,221,20,100
1149,ctx-lh-S_circular_insula_anterior,221,60,140
1150,ctx-lh-S_circular_insula_inferior,221,20,220
1151,ctx-lh-S_circular_insula_superior,61,220,220
1152,ctx-lh-S_collateral_transverse_ant,100,200,200
1153,ctx-lh-S_collateral_transverse_post,10,200,200
1154,ctx-lh-S_frontal_inferior,221,220,20
1155,ctx-lh-S_frontal_middle,141,20,100
1156,ctx-lh-S_frontal_superior,61,220,100
1157,ctx-lh-S_frontomarginal,21,220,60
1158,ctx-lh-S_intermedius_primus-Jensen,141,60,20
1159,ctx-lh-S_intraparietal-and_Parietal_transverse,143,20,220
1160,ctx-lh-S_occipital_anterior,61,20,180
1161,ctx-lh-S_occipital_middle_and_Lunatus,101,60,220
1162,ctx-lh-S_occipital_superior_and_transversalis,21,20,140
1163,ctx-lh-S_occipito-temporal_lateral,221,140,20
1164,ctx-lh-S_occipito-temporal_medial_and_S_Lingual,141,100,220
1165,ctx-lh-S_orbital-H_shapped,101,20,20
1166,ctx-lh-S_orbital_lateral,221,100,20
1167,ctx-lh-S_orbital_medial-Or_olfactory,181,200,20
1168,ctx-lh-S_paracentral,21,180,140
1169,ctx-lh-S_parieto_occipital,101,100,180
1170,ctx-lh-S_pericallosal,181,220,20
1171,ctx-lh-S_postcentral,21,140,200
1172,ctx-lh-S_precentral-Inferior-part,21,20,240
1173,ctx-lh-S_precentral-Superior-part,21,20,200
1174,ctx-lh-S_subcentral_ant,61,180,60
1175,ctx-lh-S_subcentral_post,61,180,250
1176,ctx-lh-S_suborbital,21,20,60
1177,ctx-lh-S_subparietal,101,60,60
1178,ctx-lh-S_supracingulate,21,220,220
1179,ctx-lh-S_temporal_inferior,21,180,180
1180,ctx-lh-S_temporal_superior,223,220,60
1181,ctx-lh-S_temporal_transverse,221,60,60
2100,ctx-rh-Unknown,0,0,0
2101,ctx-rh-Corpus_callosum,50,50,50
2102,ctx-rh-G_and_S_Insula_ONLY_AVERAGE,180,20,30
2103,ctx-rh-G_cingulate-Isthmus,60,25,25
2104,ctx-rh-G_cingulate-Main_part,25,60,60
2105,ctx-rh-G_cuneus,180,20,20
2106,ctx-rh-G_frontal_inf-Opercular_part,220,20,100
2107,ctx-rh-G_frontal_inf-Orbital_part,140,60,60
2108,ctx-rh-G_frontal_inf-Triangular_part,180,220,140
2109,ctx-rh-G_frontal_middle,140,100,180
